Executando com configuração: --host fct-deei-linux:2 e np=2
Execução 8: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.886, user=0.311, sys=0.231, total=2.336343, bcast_scatterv=0.022854, computacao=0.000000, gatherv=0.000309
Execução 9: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.864, user=0.339, sys=0.219, total=2.360246, bcast_scatterv=0.061040, computacao=0.000000, gatherv=0.016073
Execução 10: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.867, user=0.416, sys=0.154, total=2.350549, bcast_scatterv=0.056532, computacao=0.000000, gatherv=0.012060
Execução 11: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.813, user=0.317, sys=0.225, total=2.347455, bcast_scatterv=0.051932, computacao=0.000000, gatherv=0.008201
Execução 12: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.859, user=0.276, sys=0.298, total=2.317168, bcast_scatterv=0.022214, computacao=0.000000, gatherv=0.005834
Execução 13: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.768, user=0.302, sys=0.251, total=2.315814, bcast_scatterv=0.018478, computacao=0.000000, gatherv=0.013321
Execução 14: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.857, user=0.335, sys=0.188, total=2.311665, bcast_scatterv=0.027963, computacao=0.000000, gatherv=0.000326
Execução 15: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.829, user=0.274, sys=0.224, total=2.339274, bcast_scatterv=0.038508, computacao=0.000000, gatherv=0.016064
Execução 16: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.827, user=0.35, sys=0.174, total=2.318633, bcast_scatterv=0.022228, computacao=0.000000, gatherv=0.000631
Execução 17: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.822, user=0.333, sys=0.239, total=2.353050, bcast_scatterv=0.057014, computacao=0.000000, gatherv=0.006393
Execução 18: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.842, user=0.296, sys=0.258, total=2.315252, bcast_scatterv=0.031248, computacao=0.000000, gatherv=0.000381
Execução 19: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.797, user=0.268, sys=0.276, total=2.319517, bcast_scatterv=0.026188, computacao=0.000000, gatherv=0.005854
Execução 20: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.886, user=0.405, sys=0.312, total=2.319954, bcast_scatterv=0.031413, computacao=0.000000, gatherv=0.000747
Execução 21: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.765, user=0.499, sys=0.4, total=2.292322, bcast_scatterv=0.026343, computacao=0.000000, gatherv=0.000304
Execução 22: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.799, user=0.502, sys=0.372, total=2.318295, bcast_scatterv=0.032902, computacao=0.000000, gatherv=0.000345
Execução 23: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.801, user=0.425, sys=0.472, total=2.301336, bcast_scatterv=0.026859, computacao=0.000000, gatherv=0.000229
Execução 24: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.751, user=0.421, sys=0.443, total=2.281767, bcast_scatterv=0.014835, computacao=0.000001, gatherv=0.000210
Execução 25: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.795, user=0.491, sys=0.379, total=2.296628, bcast_scatterv=0.016305, computacao=0.000000, gatherv=0.000288
Execução 26: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.814, user=0.336, sys=0.313, total=2.309371, bcast_scatterv=0.026452, computacao=0.000000, gatherv=0.001083
Execução 27: Configuração=--host fct-deei-linux:4 --host fct-deei-aval:1, np=5, real=2.792, user=0.407, sys=0.392, total=2.297382, bcast_scatterv=0.014363, computacao=0.000000, gatherv=0.000240
